,Name,Manufacturer,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine CC,Power,Seats,Mileage Km/L,Price
1162,Maruti Swift Dzire AMT ZDI,Maruti,Jaipur,2016,54897,Diesel,Automatic,First,1248,74,5,26.59,7.3
1163,Tata Indica GLS BS IV,Tata,Pune,2007,108995,Petrol,Manual,First,1193,65.3,5,15.3,1.25
1164,Maruti SX4 S Cross DDiS 320 Zeta,Maruti,Chennai,2015,73000,Diesel,Manual,First,1598,118,5,22.7,8.25
1165,Maruti Swift VXI BSIII,Maruti,Ahmedabad,2008,65000,Petrol,Manual,First,1298,88.2,5,16.1,2.71
1166,Hyundai Xcent 1.2 Kappa SX,Hyundai,Kolkata,2016,32000,Petrol,Manual,First,1197,82,5,19.1,3.6
1167,Hyundai i20 1.2 Magna,Hyundai,Ahmedabad,2010,65000,Petrol,Manual,First,1197,80,5,18.5,3
1168,Maruti Celerio VXI AT,Maruti,Hyderabad,2016,21600,Petrol,Automatic,First,998,67.04,5,23.1,4.65
1169,Mercedes-Benz New C-Class C 220 CDI Elegance AT,MercedesBenz,Mumbai,2010,39000,Diesel,Automatic,First,2143,170,5,14.84,9.5
1170,Maruti Swift Dzire VXi,Maruti,Mumbai,2011,58075,Petrol,Manual,First,1298,85.8,5,17.5,2.95
1171,Volkswagen Vento Petrol Trendline,Volkswagen,Mumbai,2011,58000,Petrol,Manual,First,1598,103.6,5,15.04,3
1172,Maruti Swift ZDi,Maruti,Hyderabad,2015,58000,Diesel,Manual,First,1248,74,5,25.2,5.95
1173,Toyota Corolla Altis VL,Toyota,Delhi,2008,89000,Petrol,Automatic,First,1798,138.1,5,14.53,4
1174,Honda Civic 2006-2010 1.8 V MT,Honda,Delhi,2008,72000,Petrol,Manual,First,1799,130,5,13.5,2.5
1175,Ford EcoSport 1.5 Ti VCT AT Titanium BE,Ford,Kolkata,2017,1800,Petrol,Automatic,First,1499,110.4,5,16.05,11.37
1176,Fiat Linea Emotion Pack (Diesel),Fiat,Pune,2010,172050,Diesel,Manual,Second,1248,93,5,19,2.25
1177,Hyundai i10 Era,Hyundai,Jaipur,2013,46230,Petrol,Manual,First,1086,68.05,5,19.81,3.1
1178,Volvo XC60 D5 Inscription,Volvo,Kochi,2014,86925,Diesel,Automatic,First,2400,215,5,11.2,17.18
1179,Hyundai i20 1.2 Asta,Hyundai,Jaipur,2018,5000,Petrol,Manual,First,1197,81.83,5,18.6,6.5
1180,Honda City i DTEC S,Honda,Ahmedabad,2014,66000,Diesel,Manual,First,1498,98.6,5,26,5.7
1181,Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Toyota,Ahmedabad,2013,119000,Diesel,Manual,First,2494,100,8,12.99,8
1182,Renault KWID RXT,Renault,Chennai,2016,45000,Petrol,Manual,First,799,53.3,5,25.17,2.6
1183,Maruti A-Star Vxi,Maruti,Hyderabad,2009,66149,Petrol,Manual,First,998,66.1,5,19,2.45
1184,Mercedes-Benz B Class B180,MercedesBenz,Kochi,2014,42070,Petrol,Automatic,First,1595,120.7,5,14.8,11.57
1185,Maruti Wagon R LXI BS IV,Maruti,Kolkata,2012,35503,Petrol,Manual,First,998,67.1,5,18.9,2.3
1186,Maruti Swift VDI BSIV,Maruti,Jaipur,2016,41460,Diesel,Manual,First,1248,74,5,25.2,5.9
1187,Hyundai Verna VTVT 1.6 AT SX Option,Hyundai,Mumbai,2015,40600,Petrol,Automatic,First,1591,121.3,5,17,7.2
1188,Hyundai Verna CRDi 1.6 AT SX Option,Hyundai,Ahmedabad,2013,87000,Diesel,Automatic,First,1582,126.2,5,22,5.9
1189,Honda City V MT,Honda,Chennai,2014,30000,Petrol,Manual,Second,1497,116.3,5,16.8,6
1190,Hyundai i10 Magna Optional 1.1L,Hyundai,Kolkata,2010,27089,Petrol,Manual,First,1086,66.7,5,16,1.95
1191,Toyota Etios GD SP,Toyota,Coimbatore,2016,53702,Diesel,Manual,First,1364,67.04,5,23.59,6.55
1192,Volvo S60 D4 Momentum,Volvo,Hyderabad,2015,51000,Diesel,Automatic,First,1969,190,5,27.03,25
1193,Ford Figo Diesel EXI,Ford,Kolkata,2012,36542,Diesel,Manual,First,1399,68.05,5,20,2.65
1194,Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade,MercedesBenz,Mumbai,2017,15000,Diesel,Automatic,First,2987,265,5,13,69.5
1195,BMW 3 Series 320d Luxury Line,BMW,Chennai,2012,65000,Diesel,Automatic,First,1995,190,5,22.69,14
1196,Maruti Alto 800 VXI,Maruti,Pune,2014,32000,Petrol,Manual,Second,796,47.3,5,22.74,2.1
1197,Toyota Innova Crysta 2.4 VX MT,Toyota,Hyderabad,2017,24393,Diesel,Manual,First,2393,147.8,7,13.68,20.4
1198,Volkswagen Polo 1.0 MPI Trendline,Volkswagen,Hyderabad,2019,1000,Petrol,Manual,First,999,75,5,18.78,5.68
1199,Nissan Terrano XL,Nissan,Mumbai,2014,28238,Petrol,Manual,First,1598,102.5,5,13.24,5.55
1200,Mitsubishi Pajero Sport 4X4,Mitsubishi,Mumbai,2013,59000,Diesel,Manual,First,2477,175.56,7,13.5,12.75
1201,Honda Civic 2010-2013 1.8 S MT,Honda,Mumbai,2012,92000,Petrol,Manual,Second,1799,130.2,5,14.8,3.35
1202,Maruti Alto 800 LXI,Maruti,Kolkata,2013,56840,Petrol,Manual,First,796,47.3,5,22.74,1.55
1203,Volkswagen Vento Diesel Highline,Volkswagen,Coimbatore,2013,62746,Diesel,Manual,Second,1598,103.6,5,20.54,5.9
1204,Land Rover Freelander 2 HSE,Land,Hyderabad,2012,96000,Diesel,Automatic,First,2179,187.74,5,12.35,18.98
1205,Honda CR-V 2.0L 2WD MT,Honda,Mumbai,2014,24000,Petrol,Manual,First,1997,153.86,5,13.7,11.51
1206,Maruti Ertiga VDI,Maruti,Mumbai,2016,54000,Diesel,Manual,First,1248,88.76,7,20.77,7.75
1207,Toyota Innova 2.5 GX (Diesel) 7 Seater,Toyota,Chennai,2016,90000,Diesel,Manual,First,2494,100.6,7,12.99,13.9
1208,Tata Manza Aura Safire,Tata,Kolkata,2010,40000,Petrol,Manual,First,1368,90,5,15,1.35
1209,Audi Q7 35 TDI Quattro Premium Plus,Audi,Mumbai,2015,65938,Diesel,Automatic,Second,2967,241.4,7,12.07,38
1210,Hyundai Verna 1.6 SX VTVT (O) AT,Hyundai,Mumbai,2017,16100,Petrol,Automatic,First,1591,121.4,5,17.1,11.6
1211,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Volkswagen,Hyderabad,2017,3600,Diesel,Automatic,First,1498,108.5,5,21.5,12.25
1212,Honda City 1.5 S MT,Honda,Jaipur,2011,52000,Petrol,Manual,First,1497,118,5,17,3.8
1213,Ford Figo Diesel Titanium,Ford,Mumbai,2014,54000,Diesel,Manual,First,1399,68.05,5,20,3.25
1214,Honda Jazz 1.2 VX i VTEC,Honda,Mumbai,2016,15399,Petrol,Manual,First,1199,88.7,5,18.7,6.4
1215,Volkswagen Polo Petrol Highline 1.2L,Volkswagen,Bangalore,2012,75000,Petrol,Manual,Second,1198,73.9,5,16.47,3.95
1216,Honda City i-VTEC S,Honda,Delhi,2010,76752,Petrol,Manual,First,1497,117.3,5,17.4,3.57
1217,Honda City ZX GXi,Honda,Mumbai,2005,56000,Petrol,Manual,Second,1497,78,5,17.7,1.25
1218,Maruti Wagon R LXI CNG,Maruti,Pune,2015,70000,CNG,Manual,First,998,58.2,5,26.2,3.65
1219,Honda CR-V 2.4L 4WD AT AVN,Honda,Kolkata,2013,46125,Petrol,Automatic,Second,2354,187.4,5,12,12.5
1220,BMW 5 Series 2013-2017 520d Luxury Line,BMW,Ahmedabad,2014,35000,Diesel,Automatic,Second,1995,190,5,18.12,23
1221,Ambassador Classic Nova Diesel,Ambassador,Chennai,2003,80000,Diesel,Manual,Third,1489,35.5,5,12.8,1.35
1222,Mahindra Scorpio VLX 2.2 mHawk BSIII,Mahindra,Coimbatore,2012,62729,Diesel,Manual,First,2179,120,8,12.05,6.32
1223,Volkswagen Vento Diesel Comfortline,Volkswagen,Kolkata,2012,34000,Diesel,Manual,First,1598,103.6,5,20.54,3.4
1224,Maruti Zen VX,Maruti,Jaipur,1999,70000,Petrol,Manual,Second,993,60,5,17.3,0.77
1225,Maruti 800 DX BSII,Maruti,Jaipur,2009,32000,Petrol,Manual,First,796,37,4,16.1,0.9
1226,Toyota Corolla Altis 1.8 VL CVT,Toyota,Delhi,2017,21000,Petrol,Automatic,First,1798,138.03,5,14.28,18
1227,BMW 3 Series 328i Sport Line,BMW,Pune,2013,49000,Petrol,Automatic,First,1997,245,5,14.59,19
1228,Ford Ikon 1.3 Flair,Ford,Chennai,2007,40000,Petrol,Manual,Third,1299,70,5,13.8,1.1
1229,Chevrolet Beat LT,Chevrolet,Pune,2012,78000,Petrol,Manual,Second,1199,79.4,5,18.6,2
1230,Toyota Corolla Altis 1.4 DG,Toyota,Ahmedabad,2012,52000,Diesel,Manual,First,1364,86.79,5,21.43,6.5
1231,Mahindra XUV500 W4,Mahindra,Bangalore,2014,65213,Diesel,Manual,First,2179,140,7,16,9.45
1232,Hyundai Xcent 1.1 CRDi Base,Hyundai,Mumbai,2016,170000,Diesel,Manual,First,1120,71,5,24.4,4
1233,Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,MercedesBenz,Kochi,2017,36884,Diesel,Automatic,First,2143,204,5,13,32.25
1234,Hyundai i10 Sportz,Hyundai,Pune,2009,62500,Petrol,Manual,First,1197,78.9,5,20.36,2.1
1235,Toyota Corolla Altis VL AT,Toyota,Mumbai,2015,68000,Petrol,Automatic,Second,1798,138.03,5,14.28,9.75
1236,Toyota Corolla 1.8 J,Toyota,Kolkata,2014,40748,Petrol,Manual,First,1798,138,5,14.53,6.3
1237,Audi Q3 2.0 TDI Quattro,Audi,Hyderabad,2013,60000,Diesel,Automatic,First,1968,184,5,17.32,21
1238,Hyundai i20 Magna Optional 1.4 CRDi,Hyundai,Mumbai,2014,12400,Diesel,Manual,First,1396,88.8,5,21.9,4.65
1239,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,MercedesBenz,Mumbai,2013,87000,Diesel,Automatic,Second,2143,167.62,5,19.27,17
1240,Maruti Ritz VDi,Maruti,Pune,2013,20248,Diesel,Manual,First,1248,73.9,5,21.1,4.35
1241,Hyundai Creta 1.6 SX Plus Diesel,Hyundai,Coimbatore,2017,52383,Diesel,Manual,First,1582,126.2,5,19.67,14.82
1242,Jaguar XE 2.0L Diesel Prestige,Jaguar,Delhi,2018,1000,Diesel,Automatic,First,1999,177,5,13.6,40
1243,Mahindra Xylo D4,Mahindra,Chennai,2016,85000,Diesel,Manual,First,2489,93.7,7,14.95,6.15
1244,Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,Ahmedabad,2014,47000,Diesel,Manual,First,2494,100.6,7,12.99,11.25
1245,Toyota Camry 2.5 Hybrid,Toyota,Pune,2018,17585,Petrol,Automatic,First,2494,157.7,5,19.16,32
1246,Audi Q5 3.0 TDI Quattro,Audi,Coimbatore,2018,32496,Diesel,Automatic,First,2967,241.4,5,13.22,45.62
1247,Maruti Swift VDI,Maruti,Kochi,2017,34613,Diesel,Manual,First,1248,74,5,28.4,6.24
1248,Maruti Ertiga VDI Limited Edition,Maruti,Chennai,2015,153000,Diesel,Manual,First,1248,88.76,7,20.77,4.8
1249,Maruti Swift VXi BSIV,Maruti,Chennai,2014,54000,Petrol,Manual,Second,1197,85,5,16.1,4.5
1250,Hyundai i10 Sportz,Hyundai,Kochi,2015,16900,Petrol,Manual,First,1197,78.9,5,20.36,3.87
1251,Hyundai i10 Sportz,Hyundai,Delhi,2013,62334,Petrol,Manual,First,1197,78.9,5,20.36,2.75
1252,Maruti Baleno Sigma 1.2,Maruti,Kochi,2018,23714,Petrol,Manual,First,1197,83.1,5,21.4,6.57
1253,Hyundai Accent Executive,Hyundai,Jaipur,2010,52325,Petrol,Manual,First,1495,93.7,5,16.36,2
1254,Honda Brio S MT,Honda,Ahmedabad,2012,50000,Petrol,Manual,First,1198,86.8,5,19.4,3.65
1255,Maruti Swift ZDi,Maruti,Hyderabad,2016,55746,Diesel,Manual,First,1248,74,5,22.9,6.95
1256,Hyundai Xcent 1.2 VTVT S,Hyundai,Bangalore,2014,54000,Petrol,Manual,First,1197,81.86,5,20.14,5.5
1257,Mahindra XUV500 W8 2WD,Mahindra,Kolkata,2013,43000,Diesel,Manual,First,2179,140,7,16,7
1258,Mercedes-Benz E-Class E250 CDI Avantgrade,MercedesBenz,Delhi,2014,40000,Diesel,Automatic,First,2143,201.1,5,13,24
1259,Land Rover Freelander 2 TD4 S,Land,Bangalore,2010,125000,Diesel,Automatic,Second,2179,115,5,0,11
1260,Mercedes-Benz New C-Class C 220 CDI Avantgarde,MercedesBenz,Bangalore,2016,51944,Diesel,Automatic,First,2143,170,5,19.27,32.5
1261,Hyundai i20 Asta 1.4 CRDi,Hyundai,Kochi,2015,46950,Diesel,Manual,First,1396,88.76,5,21.27,6.45
1262,Skoda Octavia Elegance 2.0 TDI AT,Skoda,Mumbai,2015,23000,Diesel,Automatic,First,1968,141,5,19.3,15.75
1263,Honda City 1.5 S MT,Honda,Mumbai,2014,54546,Petrol,Manual,First,1497,118,5,17,5.5
1264,Toyota Fortuner 4x2 AT,Toyota,Kochi,2015,51535,Diesel,Automatic,First,2982,168.5,7,12.55,19.03
1265,Audi Q3 2.0 TDI Quattro,Audi,Kolkata,2013,45000,Diesel,Automatic,First,1968,184,5,17.32,15.25
1266,Maruti Alto K10 2010-2014 VXI,Maruti,Hyderabad,2012,46004,Petrol,Manual,First,998,67.1,5,20.92,2.4
1267,Tata Indigo eCS LX BSIV,Tata,Chennai,2011,124000,Diesel,Manual,First,1396,69,5,23.03,2.3
1268,Audi A4 2.0 TDI 177 Bhp Premium Plus,Audi,Kochi,2014,77395,Diesel,Automatic,First,1968,174.33,5,17.11,14.35
1269,Maruti Alto 800 2016-2019 CNG LXI,Maruti,Mumbai,2018,10600,CNG,Manual,First,796,40.3,4,33.44,3.5
1270,Honda City i-VTEC CVT VX,Honda,Kochi,2018,22974,Petrol,Automatic,First,1497,117.3,5,18,11.97
1271,Hyundai Santro GLS I - Euro II,Hyundai,Jaipur,2009,89000,Petrol,Manual,Second,999,74,5,0,1.6
1272,Toyota Fortuner 2.8 2WD MT,Toyota,Ahmedabad,2015,65012,Diesel,Manual,First,2755,174.5,7,14.24,18.9
1273,Hyundai Grand i10 Sportz,Hyundai,Ahmedabad,2017,17125,Petrol,Manual,First,1197,82,5,18.9,5.4
1274,Maruti Eeco 7 Seater Standard,Maruti,Hyderabad,2015,90413,Petrol,Manual,First,1196,73,7,15.1,2.95
1275,Volkswagen Polo Petrol Highline 1.2L,Volkswagen,Bangalore,2013,37000,Petrol,Manual,First,1198,73.9,5,16.47,5.1
1276,Maruti Wagon R LXI Minor,Maruti,Jaipur,2006,65000,Petrol,Manual,First,1061,67,5,18.9,1.5
1277,Honda City 1.5 V MT,Honda,Bangalore,2011,66000,Petrol,Manual,First,1497,118,5,17,4.9
1278,Honda Civic 2010-2013 1.8 S MT,Honda,Mumbai,2010,86000,Petrol,Manual,First,1799,130.2,5,14.8,2.9
1279,Honda City 1.5 EXI,Honda,Pune,2005,98437,Petrol,Manual,First,1493,100,5,13,1.15
1280,Hyundai i20 1.2 Magna,Hyundai,Kolkata,2010,18000,Petrol,Manual,First,1197,80,5,18.5,2.3
1281,Hyundai Grand i10 CRDi Sportz Celebration Edition,Hyundai,Kochi,2018,35070,Diesel,Manual,First,1120,70,5,24,5.99
1282,Volkswagen Vento Petrol Highline AT,Volkswagen,Pune,2011,42000,Petrol,Automatic,Third,1598,103.6,5,14.4,3.4
1283,Hyundai i10 Sportz 1.2,Hyundai,Kolkata,2009,40000,Petrol,Manual,First,1197,78.9,5,20.36,1.7
1284,Hyundai i20 Asta,Hyundai,Kolkata,2009,43000,Petrol,Manual,First,1197,80,5,17,1.99
1285,Chevrolet Beat LS,Chevrolet,Pune,2012,65000,Petrol,Manual,First,1199,79.4,5,18.6,2.5
1286,Volkswagen Polo Diesel Highline 1.2L,Volkswagen,Hyderabad,2013,74000,Diesel,Manual,First,1199,73.9,5,22.07,4.85
1287,Ford Figo Petrol LXI,Ford,Hyderabad,2010,51192,Petrol,Manual,First,1196,70,5,15.6,2.65
1288,Audi TT 2.0 TFSI,Audi,Kochi,2014,14262,Petrol,Automatic,First,1984,207.8,2,9.9,27.35
1289,Honda City i DTEC VX,Honda,Jaipur,2015,66339,Diesel,Manual,Second,1498,98.6,5,25.1,6.9
1290,Ford Figo Diesel Titanium,Ford,Hyderabad,2013,90200,Diesel,Manual,First,1399,68.05,5,20,3.5
1291,Toyota Innova 2.5 ZX Diesel 7 Seater,Toyota,Delhi,2015,57854,Diesel,Manual,First,2494,100.6,7,12.99,12.5
1292,Maruti Ciaz 1.4 AT Alpha,Maruti,Delhi,2017,32000,Petrol,Automatic,First,1373,91.1,5,19.12,9.2
1293,Hyundai Grand i10 AT Asta,Hyundai,Mumbai,2015,29631,Petrol,Automatic,First,1197,82,5,18.9,4.9
1295,Ford EcoSport 1.0 Ecoboost Titanium Plus BE,Ford,Kochi,2014,54173,Petrol,Manual,First,999,123.24,5,18.88,5.55
1296,Skoda Octavia Ambition 1.8 TSI AT,Skoda,Ahmedabad,2014,50000,Petrol,Automatic,First,1798,177.6,5,14.7,13.5
1297,Fiat Linea Emotion (Diesel),Fiat,Kolkata,2010,145000,Diesel,Manual,First,1248,91.7,5,20.4,2.6
1298,Maruti Swift Lxi BSIII,Maruti,Jaipur,2015,78000,Petrol,Manual,First,1298,88.2,5,16.1,4.5
1299,Land Rover Discovery 4 TDV6 SE,Land,Delhi,2013,65000,Diesel,Automatic,Second,2993,180,7,11.8,34
1300,Toyota Innova 2.5 V Diesel 7-seater,Toyota,Hyderabad,2012,120000,Diesel,Manual,First,2494,102,7,12.8,12
1301,Maruti Swift LDI,Maruti,Mumbai,2015,14000,Diesel,Manual,First,1248,74,5,28.4,5.25
1302,Audi A6 2011-2015 2.0 TDI Premium Plus,Audi,Kochi,2014,57456,Diesel,Automatic,First,1968,174.33,5,17.68,21.56
1303,BMW 5 Series 520d Luxury Line,BMW,Coimbatore,2012,44450,Diesel,Automatic,First,1995,190,5,22.48,24.68
1304,Hyundai i20 Magna Optional 1.2,Hyundai,Delhi,2013,63777,Petrol,Manual,First,1197,82.9,5,18.5,3.67
1305,BMW X1 M Sport sDrive 20d,BMW,Mumbai,2016,31000,Diesel,Automatic,First,1995,190,5,17.05,29.5
1306,Toyota Etios G,Toyota,Delhi,2012,60000,Petrol,Manual,First,1496,88.73,5,17.6,3.1
1307,Tata Indigo LX,Tata,Ahmedabad,2015,78008,Diesel,Manual,First,1405,70,5,17,2.9
1308,Mercedes-Benz M-Class ML 350 4Matic,MercedesBenz,Bangalore,2014,33000,Diesel,Automatic,Second,2987,165,5,0,43
1309,Volkswagen Beetle 2.0,Volkswagen,Mumbai,2009,27078,Petrol,Automatic,First,1984,114.4,4,10.98,15.95
1310,Volkswagen Polo GT TDI,Volkswagen,Hyderabad,2011,57275,Diesel,Manual,First,1598,103.6,5,19.7,4.5
1311,Hyundai Grand i10 CRDi Magna,Hyundai,Delhi,2014,45000,Diesel,Manual,First,1120,70,5,24,3.49
1312,Maruti Swift VDI BSIV,Maruti,Delhi,2014,57319,Diesel,Manual,First,1248,74,5,25.2,4.25
1313,Hyundai Verna CRDi 1.4 E,Hyundai,Chennai,2008,121097,Diesel,Manual,Second,1396,88.76,5,24,1.9
1314,BMW 5 Series 2003-2012 525d,BMW,Mumbai,2011,89000,Diesel,Automatic,First,1995,218,5,16.73,16.57
1315,Honda City 1.5 S MT,Honda,Bangalore,2012,72000,Petrol,Manual,First,1497,118,5,17,5.75
1316,Audi A4 2.0 TDI,Audi,Delhi,2013,36000,Diesel,Automatic,Second,1968,147.51,5,16.55,14
1317,Fiat Linea Classic Plus 1.3 Multijet,Fiat,Jaipur,2013,86000,Diesel,Manual,Second,1248,75,5,19.5,2.5
1318,Honda City 1.3 EXI,Honda,Ahmedabad,2002,85000,Petrol,Manual,First,1343,90,5,13,1.2
1319,Fiat Petra 1.2 EL,Fiat,Pune,2005,120000,Petrol,Manual,Second,1242,74,5,15.5,0.85
1320,BMW 3 Series 320d Luxury Line,BMW,Kochi,2013,37613,Diesel,Automatic,First,1995,190,5,22.69,13.95
1321,Ford Fiesta 1.4 Duratec EXI,Ford,Chennai,2007,100000,Petrol,Manual,First,1388,68,5,16.6,1.6
1322,Tata Nano XTA,Tata,Coimbatore,2016,5240,Petrol,Automatic,First,624,37.48,4,21.9,3.6
1323,Maruti Eeco 5 STR With AC Plus HTR CNG,Maruti,Mumbai,2018,20000,CNG,Manual,First,1196,73,5,15.1,4.5
1324,Maruti Ignis 1.2 Delta,Maruti,Coimbatore,2019,16862,Petrol,Manual,First,1197,81.8,5,20.89,6.06
1325,Maruti Swift Dzire ZXi,Maruti,Coimbatore,2013,59254,Petrol,Manual,Second,1298,85.8,5,17.5,5.29
1326,Ford Ecosport 1.5 DV5 MT Titanium,Ford,Jaipur,2014,60000,Diesel,Manual,First,1498,89.84,5,22.7,5.75
1328,Maruti Swift Dzire VXI,Maruti,Coimbatore,2014,47674,Petrol,Manual,First,1197,85.8,5,19.1,5.72
1329,Hyundai i10 Sportz AT,Hyundai,Kochi,2014,61517,Petrol,Automatic,First,1197,78.9,5,16.95,4.39
1330,Mahindra XUV500 W6 2WD,Mahindra,Coimbatore,2016,62946,Diesel,Manual,First,2179,140,7,15.1,11.05
1331,Hyundai i20 Magna 1.4 CRDi,Hyundai,Delhi,2015,66823,Diesel,Manual,Second,1396,88.73,5,22.54,4.83
1332,Maruti Wagon R CNG LXI,Maruti,Pune,2013,79494,CNG,Manual,First,998,67.04,5,33.54,2.96
1333,Hyundai i20 Asta 1.4 CRDi,Hyundai,Chennai,2012,107000,Diesel,Manual,Second,1396,88.76,5,21.27,4.5
1334,BMW 7 Series 730Ld,BMW,Mumbai,2011,55000,Diesel,Automatic,Second,2993,258,5,16.46,19.5
1335,Skoda Rapid 1.6 MPI AT Style Plus,Skoda,Mumbai,2017,24000,Petrol,Automatic,First,1598,103.52,5,14.3,8.75
1336,Audi Q7 45 TDI Quattro Technology,Audi,Mumbai,2016,20002,Diesel,Automatic,First,2967,245,7,14.75,67
1337,Honda City i VTEC VX,Honda,Kochi,2016,54317,Petrol,Manual,First,1497,117.3,5,17.4,8.4
1338,Hyundai Xcent 1.2 Kappa SX,Hyundai,Mumbai,2016,10200,Petrol,Manual,First,1197,82,5,19.1,4.99
1339,Honda City i DTec E,Honda,Coimbatore,2016,24337,Diesel,Manual,First,1498,98.6,5,26,8.18
1340,Honda Brio S Option MT,Honda,Pune,2012,79000,Petrol,Manual,First,1198,86.8,5,18.4,2.9
1341,Maruti Ciaz ZDi Plus SHVS,Maruti,Jaipur,2015,40500,Diesel,Manual,First,1248,88.5,5,28.09,7.1
1342,Maruti Swift Dzire VDI Optional,Maruti,Pune,2016,23000,Diesel,Manual,First,1248,74,5,26.59,7.05
1343,Honda CR-V 2.4L 4WD AT,Honda,Pune,2015,63050,Petrol,Automatic,First,2354,158.8,5,11.1,17.5
1344,Toyota Corolla Altis 2008-2013 1.8 VL AT,Toyota,Mumbai,2008,78000,Petrol,Automatic,Second,1794,138.1,5,14.53,3.41
1345,Maruti Baleno Vxi,Maruti,Pune,2005,70000,Petrol,Manual,First,1590,74,5,0,1.3
1346,Honda City 1.5 V MT,Honda,Coimbatore,2012,66245,Petrol,Manual,First,1497,118,5,17,5.68
1347,Mahindra Scorpio LX BS IV,Mahindra,Bangalore,2007,74112,Diesel,Manual,First,2179,120,9,12.05,4.1
1348,Skoda Laura 1.8 TSI Ambiente,Skoda,Delhi,2011,87670,Petrol,Manual,First,1798,157.8,5,13.4,4
1349,BMW 3 Series 320d Sport Line,BMW,Hyderabad,2015,10000,Diesel,Automatic,First,1995,184,5,18.88,30
1350,Maruti SX4 Zxi BSIII,Maruti,Chennai,2007,62493,Petrol,Manual,First,1586,104.68,5,15,1.8
1351,Maruti Ciaz VXi Plus,Maruti,Kochi,2015,44620,Petrol,Manual,First,1373,91.1,5,20.73,6.93
1352,Land Rover Range Rover 3.6 TDV8 Vogue SE Diesel,Land,Bangalore,2012,66538,Diesel,Automatic,First,4367,308,7,10.2,70
1353,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,Ahmedabad,2013,60000,Diesel,Manual,First,2494,100,7,12.99,7.9
1354,Hyundai Santro Xing GL,Hyundai,Kochi,2011,20842,Petrol,Manual,First,1086,62,5,0,2.78
1355,Hyundai Santa Fe 4WD AT,Hyundai,Chennai,2014,110000,Diesel,Automatic,First,2199,194.3,7,13.01,14.4
1356,Mercedes-Benz New C-Class C250 Avantgarde,MercedesBenz,Mumbai,2011,45000,Petrol,Automatic,Second,1796,186,5,11.74,13.5
1357,Maruti Wagon R LXI CNG,Maruti,Mumbai,2014,40000,CNG,Manual,Second,998,58.16,5,26.6,3.15
1358,Maruti Alto LXi,Maruti,Coimbatore,2012,49008,Petrol,Manual,First,796,46.3,5,19.7,2.88
1359,Maruti Alto 800 2016-2019 LXI,Maruti,Kolkata,2016,31000,Petrol,Manual,First,796,47.3,5,24.7,2.15
1360,Nissan Sunny 2011-2014 XV,Nissan,Pune,2013,8000,Petrol,Manual,First,1498,97.7,5,16.95,3.75
1361,Maruti Alto 800 2016-2019 VXI,Maruti,Mumbai,2019,171,Petrol,Manual,First,796,47.3,5,24.7,3.6
1362,Maruti Alto K10 VXI,Maruti,Kolkata,2018,2100,Petrol,Manual,First,998,67.1,5,24.07,3.6
1363,Hyundai Grand i10 1.2 Kappa Sportz AT,Hyundai,Coimbatore,2018,20667,Petrol,Automatic,First,1197,81.86,5,18.9,7.55
1364,Honda Mobilio S i DTEC,Honda,Kolkata,2015,50000,Diesel,Manual,First,1498,98.6,7,24.2,4.7
1365,Tata Manza Aqua Quadrajet,Tata,Jaipur,2010,100030,Diesel,Manual,Second,1248,90,5,18.8,1.6
1366,Chevrolet Optra Magnum 2.0 LT,Chevrolet,Pune,2011,75372,Diesel,Manual,First,1991,123.7,5,16.52,3.34
1367,Honda City i VTEC CVT VX,Honda,Kochi,2016,60475,Petrol,Automatic,First,1497,117.3,5,18,9.1
1368,Hyundai Grand i10 1.2 Kappa Sportz,Hyundai,Kochi,2019,18453,Petrol,Manual,First,1197,81.86,5,18.9,6.17
1369,Hyundai Verna CRDi 1.6 SX,Hyundai,Hyderabad,2008,96578,Diesel,Manual,First,1582,126.2,5,22,2.5
1370,Nissan Micra XL,Nissan,Kolkata,2016,31001,Petrol,Manual,First,1198,75,5,18.44,3
1371,Hyundai Verna 1.6 SX,Hyundai,Jaipur,2012,65900,Diesel,Manual,First,1582,126.32,5,22.32,5.75
1372,Hyundai Creta 1.6 VTVT E Plus,Hyundai,Bangalore,2017,26246,Petrol,Manual,First,1591,121.3,5,15.29,10.75
1373,Maruti Wagon R VXI BS IV,Maruti,Jaipur,2013,62700,Petrol,Manual,Second,998,67.04,5,20.51,2.85
1374,Honda Accord 2.4 Elegance A/T,Honda,Chennai,2008,90000,Petrol,Automatic,First,2354,180,5,10.2,6.5
1375,Honda City 1.5 S AT,Honda,Bangalore,2016,36000,Petrol,Automatic,First,1497,118,5,16.8,9.45
1376,Maruti Baleno Alpha 1.3,Maruti,Delhi,2016,46000,Diesel,Manual,First,1248,74,5,27.39,6.75
1377,Honda City i DTec V,Honda,Coimbatore,2017,73003,Diesel,Manual,First,1498,98.6,5,26,7.75
